MQ9,value
613,0
607,0
614,0
590,0
585,0
595,0
585,0
577,0
521,0
460,0
483,0
457,0
498,0
466,0
689,1
700,1
708,1
708,1
762,1
801,1
821,1
832,1
856,1
865,1
793,1
848,1
842,1
881,1
883,1
894,1
912,1
906,1
921,1
904,1
911,1
905,1
870,1
918,1
917,1
911,1
927,1
902,1
875,1
941,1
910,1
904,1
926,1
895,1
883,1
491,0
525,0
523,0
484,0
530,0
532,0
529,0
540,0
520,0
485,0
491,0
533,0
494,0
652,1
997,1
1020,1
983,1
1014,1
979,1
1017,1
1012,1
1047,1
1044,1
1020,1
1030,1
1021,1
1023,1
992,1
928,1
880,1
732,1
638,1
642,1
488,0
486,0
495,0
453,0
485,0
484,0
447,0
454,0
471,0
576,0
551,0
594,0
591,0
603,0
606,0
614,0
598,0
603,0
594,0
614,0
624,0
602,0
599,0
633,0
621,0
631,0
649,0
629,0
641,0
627,0
635,0
647,0
643,0
624,0
631,0
627,0
637,0
636,0
634,0
657,0
650,0
648,0
641,0
661,0
660,0
656,0
651,0
641,0
664,0
654,0
651,0
662,0
598,0
650,0
616,0
665,0
633,0
665,0
665,0
607,0
649,0
650,0
473,0
491,0
483,0
499,0
509,0
506,0
491,0
489,0
505,0
486,0
497,0
497,0
489,0
496,0
499,0
509,0
496,0
453,0
504,0
493,0
482,0
488,0
498,0
509,0
443,0
492,0
500,0
493,0
469,0
471,0
515,0
495,0
506,0
502,0
515,0
505,0
510,0
755,1
930,1
1021,1
1017,1
904,1
804,1
751,1
734,1
709,1
718,1
720,1
711,1
775,1
864,1
959,1
841,1
754,1
740,1
767,1
802,1
740,1
860,1
890,1
837,1
799,1
853,1
747,1
783,1
746,1
736,1
764,1
755,1
754,1
494,0
456,0
462,0
472,0
484,0
483,0
483,0
489,0
482,0
479,0
498,0
466,0
473,0
447,0
475,0
478,0
479,0
486,0
471,0
472,0
479,0
470,0
478,0
474,0
471,0
471,0
473,0
446,0
471,0
476,0
475,0
470,0
478,0
461,0
464,0
464,0
449,0
483,0
469,0
528,0
515,0
482,0
523,0
548,0
498,0
540,0
538,0
544,0
539,0
530,0
500,0
534,0
538,0
554,0
559,0
546,0
551,0
564,0
565,0
571,0
553,0
567,0
572,0
595,0
602,0
608,0
581,0
590,0
529,0
533,0
527,0
533,0
513,0
532,0
826,1
821,1
832,1
840,1
840,1
